track_uri,term,index,as_of_date
spotify:track:6UgkB0xM45TR3Zjqm3GQ6T,short_term,24,2024-02-10
spotify:track:6pRNRlI9z4fHI4CQfYHsWv,short_term,25,2024-02-10
spotify:track:6wBpO4Xc4YgShnENGSFA1M,short_term,26,2024-02-10
spotify:track:72PwtNhRrZXNnYeRg5xQ46,short_term,27,2024-02-10
spotify:track:79musoVrfPaVxoMSBFJYuc,short_term,28,2024-02-10
spotify:track:7wDVvxMUdW5MtJUqFtuXUz,short_term,29,2024-02-10
spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew,short_term,30,2024-02-10
spotify:track:0IktbUcnAGrvD03AWnz3Q8,short_term,31,2024-02-10
spotify:track:1IRRqn75jaZHp7zMT1NGbZ,short_term,32,2024-02-10
spotify:track:1rL3u6JsjQT9Cxg1oHTJEK,short_term,33,2024-02-10
spotify:track:2IdwQxhJn9ZE4zIotcCefR,short_term,34,2024-02-10
spotify:track:33jt3kYWjQzqn3xyYQ5ZEh,short_term,35,2024-02-10
spotify:track:3HqcNJdZ2seoGxhn0wVNDK,short_term,36,2024-02-10
spotify:track:4zIPZxvYp32y6ifjm1E30O,short_term,37,2024-02-10
spotify:track:5DIVWgTeJ2fPIxaY9e7ZKn,short_term,38,2024-02-10
spotify:track:69xohKu8C1fsflYAiSNbwM,short_term,39,2024-02-10
spotify:track:5qI5EUqfDJpQ7w6sMECK7U,short_term,40,2024-02-10
spotify:track:6WJTEsLxWtSIlXML3NVSzA,short_term,41,2024-02-10
spotify:track:71E2JcSbv1abMaua23RBSV,short_term,42,2024-02-10
spotify:track:1pvBm1ydKLXorYDdlIAeuj,short_term,43,2024-02-10
spotify:track:2RoYgkPzUY0vY7lhUuyus1,short_term,44,2024-02-10
spotify:track:3dbLT62Cvs46Ju7a8gpr36,short_term,45,2024-02-10
spotify:track:57LioO1gSll1wvPDAjiET3,short_term,46,2024-02-10
spotify:track:02b8ldrByRJbFE5M71q34w,short_term,47,2024-02-10
spotify:track:06PNiDGtPIMOq9VU2ftVCk,short_term,48,2024-02-10
spotify:track:06XQvnJb53SUYmlWIhUXUi,short_term,49,2024-02-10
