name,popularity,explicit,duration_ms,uri,album_uri,isrc
Be Natural,53,False,280450,spotify:track:41qLzxymjkp0R5vl3REb1S,spotify:album:4OeQ9nilS4Sy3efzt0hVFi,KRA301400045
Doom Du Doom,57,False,210333,spotify:track:41tvdK0UNp3oNKWDPkg7FO,spotify:album:73CTPjApMDvFsycjbbROji,KRA382206058
Can't Take My Eyes Off You,0,False,194000,spotify:track:421iteTHiwbWZneFqAUQpS,spotify:album:6nktHqHKPt8kT4ozUJvwrs,USE830976819
MY STAR,37,False,221774,spotify:track:42Dl2MOplqImwLoIPMv6Me,spotify:album:3cGyWEJaQlj7kCdKBCOGeb,KRA401600049
Vuja De,36,False,186425,spotify:track:42UNd3AFYei50ztCyAKhWl,spotify:album:1sNNtYLrWGMmPIGElMW42b,KRA302300257
Aha!,25,False,147333,spotify:track:42itRd5WoYb42RSYOloJvD,spotify:album:5AYKGPzPBJNHeKehCxMaq0,GBJPX0900073
Landslide,0,False,239813,spotify:track:42oLAPsFC8VUNEQ3rFIwVh,spotify:album:40g8iY5VB5sTJ31943mAzQ,TCABF1235203
Peek-A-Boo,70,False,189049,spotify:track:42tFTth2jcF7iSo0RBjfJF,spotify:album:0rvrbZvaDX5S9ZBhwOwFfH,KRA301700600
You Take My Breath Away,1,False,66496,spotify:track:430GqLsbnIps8OZoZUCIYp,spotify:album:2FiDSelqVoi7VQfpmaMRJK,ushm82218864
DJ Got Us Fallin' In Love (feat. Pitbull),82,False,220800,spotify:track:4356Typ82hUiFAynbLYbPn,spotify:album:6A1F3Fkq5dYeYYNkXflcTX,USLF21000041
Don't Stop Me Now,34,False,209560,spotify:track:43DHLzDkncpby82Po5jlOZ,spotify:album:5X3rA8To5GDOeIWdQyMEcE,GBCEG7800014
"24 Préludes, Op. 28: No. 5 in D Major",10,False,30200,spotify:track:43FjZOHoblMG4f7yQkJdC3,spotify:album:33YXJqoFV5AQwbo4yfk22n,DEF057530505
"Symphony No. 8 in F Major, Op. 93: II. Allegretto scherzando",5,False,245000,spotify:track:43Hdy71dNjipvXh86dEPFR,spotify:album:2DQTNTznsteIZciZdyeWdj,DEF058402372
"Wiosna, B117 (arr. from Op. 74/2)",34,False,56160,spotify:track:43ImiMGkllrumEdG03D0nX,spotify:album:19ofW4fqCAR2uQJKVWw6L6,GBF078441313
ISTJ,65,False,185280,spotify:track:43Pmqpiw4zFY77pT5QdxQ8,spotify:album:6RJlrKu60DPF6BMXVdotY7,KRA302300210
Side To Side,69,True,226160,spotify:track:43bCmCI0nSgcT7QdMXY6LV,spotify:album:3pdKKSqqLVIKmRTGw0x2N7,USUM71602107
"Brahms: Symphony No. 2 in D Major, Op. 73: I. Allegro non troppo",20,False,920053,spotify:track:43cLCzOqxYJOZMgpxdTcRt,spotify:album:2dL2qDsg6teV1cueLxCRa1,GBAYC0900759
The Flash,55,False,213533,spotify:track:43k24mAEnmPjVUDyOK27Ca,spotify:album:10NFGCJ5fzJwMadKyBcqfr,KRA382319753
New Rules,50,False,209320,spotify:track:43oK4OAWUsRZUDVeHtKI4U,spotify:album:0obMz8EHnr3dg6NCUK4xWp,GBAHT1600310
when the party's over,85,False,196077,spotify:track:43zdsphuZLzwA9k4DJhU0I,spotify:album:0S0KGZnfBGSIssfF54WSJh,USUM71815958
