artist_uri,genre
spotify:artist:0XIKGBo9PnK1ApI5tZA60d,rap latina
spotify:artist:0Y2AcMPMpeuPXtPQGVvRBq,korean trap
spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,alternative rock
spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,canadian indie
spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,chamber pop
spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,indie rock
spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,indietronica
spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,modern alternative rock
spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,modern rock
spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,seattle indie
spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,washington indie
spotify:artist:0Yy9u86cq66Se2pB9fYaiW,movie tunes
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,dance pop
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,neo soul
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,pop rap
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,r&b
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,urban contemporary
spotify:artist:0b1sIQumIAsNbqAoIClSpy,k-pop
spotify:artist:0b1sIQumIAsNbqAoIClSpy,k-rap
spotify:artist:0bfX8pF8kuHNCs57Ms4jZb,atl hip hop
spotify:artist:0bfX8pF8kuHNCs57Ms4jZb,dirty south rap
spotify:artist:0bfX8pF8kuHNCs57Ms4jZb,futuristic swag
spotify:artist:0bfX8pF8kuHNCs57Ms4jZb,southern hip hop
spotify:artist:0bfX8pF8kuHNCs57Ms4jZb,trap
spotify:artist:0blbVefuxOGltDBa00dspv,anime
spotify:artist:0blbVefuxOGltDBa00dspv,anime rock
spotify:artist:0blbVefuxOGltDBa00dspv,j-pixie
spotify:artist:0blbVefuxOGltDBa00dspv,j-pop
spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,pop
spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,r&b
spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,rap
spotify:artist:0cRX0gc8vmwKmV0RWqCV2L,west end
spotify:artist:0cxXnDhpgxcMMkKddhORHY,classical performance
spotify:artist:0cxXnDhpgxcMMkKddhORHY,orchestral performance
spotify:artist:0dUYLC7DLjeS8gIh8cz2Pq,alternative r&b
spotify:artist:0dmPX6ovclgOy8WWJaFEUU,dusseldorf electronic
spotify:artist:0dmPX6ovclgOy8WWJaFEUU,early synthpop
spotify:artist:0dmPX6ovclgOy8WWJaFEUU,electro
spotify:artist:0dmPX6ovclgOy8WWJaFEUU,proto-techno
spotify:artist:0dmPX6ovclgOy8WWJaFEUU,synthpop
spotify:artist:0du5cEVh5yTK9QJze8zA0C,dance pop
spotify:artist:0du5cEVh5yTK9QJze8zA0C,pop
spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,brooklyn drill
spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,hip hop
spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,rap
spotify:artist:0eOythKkGSageuVFr6nDHf,classical soprano
spotify:artist:0ebNdVaOfp6N0oZ1guIxM8,k-pop
spotify:artist:0epOFNiUfyON9EYx7Tpr6V,alternative rock
spotify:artist:0epOFNiUfyON9EYx7Tpr6V,garage rock
spotify:artist:0epOFNiUfyON9EYx7Tpr6V,modern rock
spotify:artist:0epOFNiUfyON9EYx7Tpr6V,permanent wave
spotify:artist:0epOFNiUfyON9EYx7Tpr6V,rock
spotify:artist:0fEj1fYIQwWj1bzzAto9rp,modern indie pop
spotify:artist:0fP33MCfVUaPivyFYLZtoh,college a cappella
spotify:artist:0fagNxnyvy6FDvkNPt6X29,scorecore
spotify:artist:0gOrXuu1vCBXe3pwTyb5Ca,classical piano
spotify:artist:0gOrXuu1vCBXe3pwTyb5Ca,ukrainian classical piano
spotify:artist:0gW6hG0g7pVNbHgvmYwHDl,college a cappella
spotify:artist:0gadJ2b9A4SKsB1RFkBb66,folk-pop
spotify:artist:0gadJ2b9A4SKsB1RFkBb66,neo mellow
spotify:artist:0ghlgldX5Dd6720Q3qFyQB,k-pop
spotify:artist:0ghlgldX5Dd6720Q3qFyQB,k-pop boy group
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,hip pop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,pop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,queens hip hop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,rap
spotify:artist:0hEurMDQu99nJRq8pTxO14,neo mellow
spotify:artist:0hEurMDQu99nJRq8pTxO14,singer-songwriter
spotify:artist:0hIG9FXgjQxT8fKaYceFbA,classical
spotify:artist:0hIG9FXgjQxT8fKaYceFbA,classical performance
spotify:artist:0hIG9FXgjQxT8fKaYceFbA,violin
spotify:artist:0iOVhN3tnSvgDbcg25JoJb,jazz blues
spotify:artist:0iOVhN3tnSvgDbcg25JoJb,soul
spotify:artist:0iOVhN3tnSvgDbcg25JoJb,soul blues
spotify:artist:0iOVhN3tnSvgDbcg25JoJb,torch song
spotify:artist:0iOVhN3tnSvgDbcg25JoJb,vocal jazz
spotify:artist:0iidQFemlPhkoHqFroz2my,folk-pop
spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,j-pop
spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,japanese singer-songwriter
spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,japanese teen pop
spotify:artist:0jWqALm6pl5CHj5N0eO68G,movie tunes
spotify:artist:0js3wKXyi7RL11sfOykRt1,k-pop
spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,album rock
spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,art rock
spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,classic rock
spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,progressive rock
spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,psychedelic rock
spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,rock
spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,symphonic rock
spotify:artist:0kB3Vlf3xDNZQz6NjAPJV8,5th gen k-pop
spotify:artist:0kErUwb6xgWfkdn0RyZWHZ,la pop
spotify:artist:0kbgyaL9g2Eba79p2jiYlN,string quartet
spotify:artist:0kkxsdcaWmWU2yWAqclDh4,post-teen pop
spotify:artist:0kkxsdcaWmWU2yWAqclDh4,talent show
spotify:artist:0kkxsdcaWmWU2yWAqclDh4,teen pop
spotify:artist:0kkxsdcaWmWU2yWAqclDh4,viral pop
spotify:artist:0lAWpj5szCSwM4rUMHYmrr,indie rock italiano
spotify:artist:0lAWpj5szCSwM4rUMHYmrr,italian pop
spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ,disco
spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ,minneapolis sound
spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ,synthpop
spotify:artist:0nIyPY7J7G68WgQEOLHn0x,hollywood
spotify:artist:0nZHjqvdLoBy50ZzUH5FNU,escape room
spotify:artist:0nZHjqvdLoBy50ZzUH5FNU,hyperpop
