name,album_type,label,popularity,total_tracks,release_date,uri,image_url
TREASURE EP.1: All to Zero,single,KQ Entertainment,51,6,2018-10-24,spotify:album:4ayTucmOGwLd0WrJddrUwx,https://i.scdn.co/image/ab67616d0000b273676c5cfc0c0f7ba0039adbba
The Very Best of Frankie Valli & The 4 Seasons,compilation,Rhino,60,20,2003-01-14,spotify:album:0NUEQILaBzavnzcMEs4buZ,https://i.scdn.co/image/ab67616d0000b273b96c21e15c091eb98a6c88a4
Tommy,album,UMC (Universal Music Catalogue),55,24,1969-05-23,spotify:album:5cT7ee1sy2oEbFalP4asS4,https://i.scdn.co/image/ab67616d0000b27374ecb94bc3e5d851a39a0334
Baby Powder,single,"JOYFACE Records, LLC",0,1,2020-03-25,spotify:album:3nqQxvxUB95Bi2UBseY1u1,https://i.scdn.co/image/ab67616d0000b27307a560f0504f9de0af5e0a33
The Ultimate Collection,compilation,Rhino/Warner Records,53,31,2017-02-03,spotify:album:6TcPqftScGmR0aEgIb43Vv,https://i.scdn.co/image/ab67616d0000b27343f594be3179178ce058786f
Dangerous Woman,album,Universal Records,71,15,2016-04-01,spotify:album:1QRP5lutJodPixU2EWfnD7,https://i.scdn.co/image/ab67616d0000b27333342c57a9b2c4e04c97b3f5
"Bare&Rare, Pt. 1",album,MNH ENTERTAINMENT,56,8,2022-07-11,spotify:album:0fgLDYoqdQw5bhzPFWvclR,https://i.scdn.co/image/ab67616d0000b27329322a53482da3542ae9d033
Return,album,YG Entertainment,59,12,2018-01-25,spotify:album:7th9VLudqM04TpG8hNE1pb,https://i.scdn.co/image/ab67616d0000b27348f4704427189fe1957d2871
Picture Show,album,Mercury Records,65,11,2012-01-01,spotify:album:0uRFz92JmjwDbZbB7hEBIr,https://i.scdn.co/image/ab67616d0000b2734a6c0376235e5aa44e59d2c2
1+1=1,single,P NATION,55,4,2021-09-09,spotify:album:3LmraKOB9oNrXrifwrYePf,https://i.scdn.co/image/ab67616d0000b2737e727cab5d2d30dd47d99e30
One Cell In The Sea,album,Virgin Records,40,15,2007,spotify:album:0Ot7MEgreG2R93aN42M9iK,https://i.scdn.co/image/ab67616d0000b273119ad2ebc0d33edf847ed8c6
Third Album,album,UNI/MOTOWN,52,11,1970-09-08,spotify:album:5d6X8oegJmu9XKn9UBAswG,https://i.scdn.co/image/ab67616d0000b27320112a0321d2efc7384db456
Night Visions,album,Kid Ina Korner / Interscope,67,12,2012-09-04,spotify:album:6htgf3qv7vGcsdxLCDxKp8,https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a
Vintage,album,Universal Music Division Capitol Music France,55,20,2020-03-19,spotify:album:6tGI9MGbLjbxyzcxYkMXPJ,https://i.scdn.co/image/ab67616d0000b273b28db1e5c8c53e67c6969c06
With The Beatles (Remastered),album,EMI Catalogue,61,14,1963-11-22,spotify:album:1aYdiJk6XKeHWGO3FzHHTr,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73
Every night,single,AB Ent.,32,2,2012-10-02,spotify:album:0opK7fhDf6UWIVb4AKEeRo,https://i.scdn.co/image/ab67616d0000b27328bbeb0c155a9c0197876307
Artemis,album,BMG Rights Management (US) LLC,53,13,2019-09-06,spotify:album:4YAtGpNUwcHesLlyYUIxur,https://i.scdn.co/image/ab67616d0000b273107a93a6e4700e9ff7e6ca43
Love Synonym #2 : Right for Us,album,BMG Rights Management (US) LLC,45,8,2021-02-26,spotify:album:3lcR6erLOtS2klUZ5sH4Mf,https://i.scdn.co/image/ab67616d0000b2736627e97a1779843e9b66459f
Querencia,album,MNH ENTERTAINMENT,57,21,2021-02-15,spotify:album:1p2OBhqq0d1N8awjHV9xA3,https://i.scdn.co/image/ab67616d0000b27328e5351049de8f6ee39111f5
Lovers In The Night,single,"ATISPAUS/88rising Music/12Tone Music, LLC",47,1,2021-03-18,spotify:album:5qewqwnafgBx455s6LNcWv,https://i.scdn.co/image/ab67616d0000b273f40a36b5fd31d9817c34b070
"Voices Only 2013 College A Cappella, Vol. 1",compilation,Voices Only A Cappella,20,19,2013-08-01,spotify:album:6zr4GyBIMy2GRvIGPflYaK,https://i.scdn.co/image/ab67616d0000b273dde0ec88fc58ec6a54ad25a5
More Adventurous (U.S. Release),album,Brute/Beaute/Warner Records,40,11,2004-07-27,spotify:album:4n36X2GMJ84BKh9D9zMRVI,https://i.scdn.co/image/ab67616d0000b2737da94a1beda4172d30b74735
That's Life,album,FRANK SINATRA DIGITAL REPRISE,56,10,1966-11,spotify:album:3gNsjaUsu9cRckgUFx5NsY,https://i.scdn.co/image/ab67616d0000b2735c21d73934bb9760a2f791a2
The Sound of Silence,single,RCA Records Label,45,1,2019-02-15,spotify:album:2d5CHsmyOYGqfjDaPrdEzc,https://i.scdn.co/image/ab67616d0000b273183ce7c015d33f55210a2b4a
Youngblood (Deluxe),album,Capitol,72,16,2018-06-15,spotify:album:2D0Hi3Jj6RFnpWDcSa0Otu,https://i.scdn.co/image/ab67616d0000b27341aa6776dc15fbd71a2b4557
