name,popularity,explicit,duration_ms,uri,album_uri
"Waltz No. 5 in A-Flat Major, Op. 42",6,False,204333,spotify:track:0GxccwYQdYlL6dtaIjQZbk,spotify:album:0yCrQ6dCqiI6ldqI8LPqWB
Daechwita,1,True,225668,spotify:track:0H4ugk6rhnXmTl47ayy9O5,spotify:album:0zhGddZ83RpCgnelKWa2qS
ICY - English Ver.,38,False,191129,spotify:track:0H76idYK173LwctmFntEdz,spotify:album:0hoNwSKuuOeT9eAxopgMdm
"Tchaikovsky: Swan Lake, Op. 20, Act III, Appendix II: No. 20a, Russian Dance",29,False,263133,spotify:track:0H9IxK78CYvsvIWa3fNpdS,spotify:album:7dVA06E7AP7P7VzPyNxQVO
Meant,19,False,273440,spotify:track:0HEA0fIQiqOCQBcHd8PdXo,spotify:album:7HsPaYQbCYnxosF5WiSlEA
Faith - Remastered,71,False,193200,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,spotify:album:34K1Kvskt9arWy8E1Gz3Lw
"Requiem In D Minor, K.626: 6. Benedictus",0,False,329000,spotify:track:0HFIawlgXNMh01tMP3rur4,spotify:album:1HSJhsMIW2EDD4YSSkbc9e
Coppélia / Tableau 2: No. 9 Scène,0,False,121560,spotify:track:0HOEqW7pRiickxkOcC3Djm,spotify:album:7jKT8NC2XfAs9RFKsrGz2p
TiK ToK,78,False,199693,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,spotify:album:6fpLLJsDSSAlToEDW2jv4F
"Circle of Life - From ""The Lion King"" Soundtrack",63,False,239146,spotify:track:0HU5JnVaKNTWf6GykV9Zn8,spotify:album:3YA5DdB3wSz4pdfEXoMyRd
死ぬのがいいわ,69,False,185573,spotify:track:0HYAsQwJIO6FLqpyTeD3l6,spotify:album:03QiFOKDh6xMiSTkOnsmMG
Jar of Hearts,69,False,246587,spotify:track:0HZhYMZOcUzZKSFwPOti6m,spotify:album:3XNK8vPk3O1rjhDZyOMJ6n
Hallelujah,60,False,268960,spotify:track:0HZk0QsXPhMNAWNDR3rYE8,spotify:album:3sId8sOH47yqOWopzbEtJn
The Other Side (feat. CeeLo Green and B.o.B),50,False,228346,spotify:track:0HasfWMrNxTjycDy9TkRtA,spotify:album:1uyf3l2d4XYwiEqAb7t7fX
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 14b, Pas de deux. Variation I ""Tarantella""",38,False,39120,spotify:track:0HbpdVxJlwPDRqsY3TmkTQ,spotify:album:54Awn36ryf55PkZyOR4iwQ
Gold Dust,50,False,249613,spotify:track:0Hj4YtlD0Q5O0srdZxJUtl,spotify:album:6p80QT3z7kOHpYdnsItQTQ
Closer,5,False,232720,spotify:track:0Hn3xNL4W9NRwyY2l4GJFY,spotify:album:7u7dNsbxjcxVoffJELqtCV
Recovery,25,False,199653,spotify:track:0HqtTIH9Eo7IdTiiFvpdjM,spotify:album:4pj0BkJ7u39i009oqe8V79
Fields Of Gold,69,False,222120,spotify:track:0I1DJdLt9BKOb7GWmWxCjo,spotify:album:5kV0KBXfELibs6qQJLmOtg
Likey,65,False,207813,spotify:track:0IEVKWduAaMcZepZQVr80T,spotify:album:3hJXmK5gWN9P6jtZL0Lr2y
TOMBOY,75,False,174386,spotify:track:0IGUXY4JbK18bu9oD4mPIm,spotify:album:1T2W9vDajFreUuycPDjUXk
Fly Away - Intro,13,False,55000,spotify:track:0IdDyJeQXKg0KkwabitLmk,spotify:album:3Op25RElrVsFcte612zusf
Lucky,70,False,189613,spotify:track:0IktbUcnAGrvD03AWnz3Q8,spotify:album:04G0YylSjvDQZrjOfE5jA5
"Vivaldi: Violin Concerto in G Minor, Op. 12 No. 1, RV 317: III. Allegro",9,False,197946,spotify:track:0IqtbGczjbFsMoCgS90Rux,spotify:album:4YpaKMCcb65yOoee75UUOh
One Last Time,59,False,296387,spotify:track:0Iys022UwQ8xBfxE1g4nWZ,spotify:album:1kCHru7uhxBUdzkm4gzRQc
"Piano Sonata No. 11 in B flat, Op. 22: 1. Allegro con brio",2,False,418093,spotify:track:0JGm7LxCumF7nRrUlF5QIt,spotify:album:7xbsSOswKgms1fUFuwKArz
For You,58,False,205120,spotify:track:0JL7DoEqAUcOntWmBuOSdh,spotify:album:6hiwkmlOoNm8F3UkAZJcEz
Sure Thing,90,False,195373,spotify:track:0JXXNGljqupsJaZsgSbMZV,spotify:album:493HYe7N5pleudEZRyhE7R
Satellite Call,36,False,290560,spotify:track:0Jab895fPkyyQdNkMl6nYi,spotify:album:7lpbyGc4fHsQkBTsfWVBhp
the 1,73,True,210251,spotify:track:0Jlcvv8IykzHaSmj49uNW8,spotify:album:2fenSS68JI1h4Fo296JfGr
Hush,52,False,186799,spotify:track:0K2UTvyyBPSmr0IccCWNZm,spotify:album:27FDExxvG3h3XCUcJVlVSY
Paradise,52,False,217320,spotify:track:0KDCkxCsEBoSWj5fsyuvWq,spotify:album:7Jw48lPmYuYftfQv5LmAzI
The Dawntreader,0,False,304173,spotify:track:0KE9YElZqPumrpm9ovtXlN,spotify:album:6rg3WTvmv68Vd6tgR0yS0E
BLACK MIRROR,47,False,220320,spotify:track:0KERuWnGiBnoFiMyJCLTcj,spotify:album:3MSvgJYx3omhNpSaQUqnu5
"Vivaldi: The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro",39,False,321786,spotify:track:0KJHN5Y2zDcKh7riFHvpTt,spotify:album:4YpaKMCcb65yOoee75UUOh
That's What I Like,81,False,206693,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,spotify:album:4PgleR09JVnm3zY1fW3XBA
Without Your Love,0,False,267744,spotify:track:0L0hyvhKUB8zytGw8plT3l,spotify:album:5I08qbUSg8f48kenQs7Tg6
Begin Again,53,False,237613,spotify:track:0L4YCNRfXAoTvdpWeH2RGj,spotify:album:1EoDsNmgTLtmwe1BDAVxV5
Typa Girl,75,True,179172,spotify:track:0L8LOav65XwLjCLS11gNPD,spotify:album:7jaSNQUBJbvfbZHLNFrV7P
Pictures at an Exhibition (Orch. Ravel): X. The Great Gate of Kiev,27,False,340200,spotify:track:0LA9d83t4o38aoXfFRIwJz,spotify:album:1b2aoeaYZZBWmJoavOQhnd
