tag,artist_mbid,mb_tag
,b7539c32-53e7-4908-bda3-81449c367da6,alternative pop
,c0ef2ba5-a7b7-40ea-bd27-30acccfcac11,alternative pop
,e337c918-098f-418e-97a2-81dc224b1bf9,alternative pop
,f29e031f-c6b6-4d52-8edd-dc8e14378e74,alternative pop
,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,alternative pop
,9c9f1380-2516-4fc9-a3e6-f9f61941d090,alternative progressive
,3377f3bb-60fc-4403-aea9-7e800612e060,alternative r&b
,410e7fd3-b865-4fa0-bb18-1b7fd53382ca,alternative r&b
,5751a689-8b70-4ba0-a9e6-f8a10f4f8531,alternative r&b
,5a85c140-dcf9-4dd2-b2c8-aff0471549f3,alternative r&b
,7bd66c18-cb33-49aa-9279-140acedbdb49,alternative r&b
,8e494408-8620-4c6a-82c2-c2ca4a1e4f12,alternative r&b
,9fff2f8a-21e6-47de-a2b8-7f449929d43f,alternative r&b
,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,alternative r&b
,e3d5b5ec-101a-4529-9f2d-01dca64cf44e,alternative r&b
,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,alternative r&b
,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,alternative r&b
,a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,alternative rap
,0103c1cc-4a09-4a5d-a344-56ad99a77193,alternative rock
,012151a8-0f9a-44c9-997f-ebd68b5389f9,alternative rock
,186e216a-2f8a-41a1-935f-8e30c018a8fe,alternative rock
,248ead7d-8058-4e0c-b334-fde70c036f8d,alternative rock
,30343313-1e24-4758-950f-4a96309d7893,alternative rock
,3037bd18-0079-4e4b-9ce1-758689e210d8,alternative rock
,3182bda5-2f4a-49e4-9fa3-cf7e5ebbff24,alternative rock
,328d146c-79f1-4eb6-9e40-8ee5710c14e5,alternative rock
,3377f3bb-60fc-4403-aea9-7e800612e060,alternative rock
,44cf61b8-5197-448a-b82b-cef6ee89fac5,alternative rock
,4bdcee62-4902-4773-8cd1-e252e2e31225,alternative rock
,516cef4d-0718-4007-9939-f9b38af3f784,alternative rock
,52de022d-5401-427f-8301-ff1b8be11a7a,alternative rock
,5b11f4ce-a62d-471e-81fc-a69a8278c7da,alternative rock
,5fee3020-513b-48c2-b1f7-4681b01db0c6,alternative rock
,67f66c07-6e61-4026-ade5-7e782fad3a5d,alternative rock
,6ef00829-fa94-4fee-a5a6-b28e1208e96a,alternative rock
,8a9ac1cb-faae-434e-8d60-b139a3707dfc,alternative rock
,8bfac288-ccc5-448d-9573-c33ea2aa5c30,alternative rock
,8ed2e0b3-aa4c-4e13-bec3-dc7393ed4d6b,alternative rock
,97b8d224-5660-419c-8dff-4b3bf0c33983,alternative rock
,9ae93352-6da7-4efb-abb2-e43ef51acb25,alternative rock
,9c9f1380-2516-4fc9-a3e6-f9f61941d090,alternative rock
,9cb087ec-949c-4fb1-b139-778d294c0393,alternative rock
,a535e609-f98e-4a11-9ae9-a6f56158e38f,alternative rock
,a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,alternative rock
,a74b1b7f-71a5-4011-9441-d0b5e4122711,alternative rock
,ab4625d4-9947-481c-af95-5955b0b13023,alternative rock
,b4b5b5a7-feff-47d0-9458-83d0d135a692,alternative rock
,b5179744-f217-4455-9d8b-17b8d4fdeb93,alternative rock
,b7ffd2af-418f-4be2-bdd1-22f8b48613da,alternative rock
,bbc5b66b-d037-4f26-aecf-0b129e7f876a,alternative rock
,bc880664-6751-4998-984d-ebdbff15d229,alternative rock
,c44e9c22-ef82-4a77-9bcd-af6c958446d6,alternative rock
,c5ce487b-0462-444e-a184-4de0fef7e028,alternative rock
,cc197bad-dc9c-440d-a5b5-d52ba2e14234,alternative rock
,e42680f7-e439-4666-9c2c-536c2b3c6db3,alternative rock
,e8c8a3c3-29b6-421e-b977-fb6796231d41,alternative rock
,ee0c82bb-85ca-4a3c-94b8-d7221e74333f,alternative rock
,f1571db1-c672-4a54-a2cf-aaa329f26f0b,alternative rock
,f181961b-20f7-459e-89de-920ef03c7ed0,alternative rock
,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,alternative rock
,fa97dd36-1b82-43d7-a6e4-2adeafd59cef,alternative rock
,fbb375f9-48bb-4635-824e-4120273b3ba7,alternative rock
,fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,alternative rock
,ff621094-2a76-401f-8398-b75b5fd2be24,alternative rock
,06640aed-48bc-4488-9409-dd53f4356d85,ambient
,0b0c25f4-f31c-46a5-a4fb-ccbf53d663bd,ambient
,1517c06e-2fe2-452a-981c-b3d9077e0520,ambient
,2a74672d-8efc-4914-a352-cfcb218e8bdc,ambient
,48ec4bb6-47a6-4e2c-8287-7617464eb193,ambient
,5e2c9a0d-d21d-4b56-8bdb-43e01169c91b,ambient
,6077c794-a30a-4942-aed6-0d26c9090d11,ambient
,79d1e9ca-d396-44ac-8a4a-ff5dbe9e44f9,ambient
,c7e7036d-236a-4b4c-83a8-64bca8b14d7e,ambient
,e32f2cd6-8695-4914-9c24-72e02ebd09ee,ambient
,ff95eb47-41c4-4f7f-a104-cdc30f02e872,ambient
,1dce970e-34bc-48b2-ab51-48d87544a4c2,ambient dub
,a74b1b7f-71a5-4011-9441-d0b5e4122711,ambient pop
,b4b5b5a7-feff-47d0-9458-83d0d135a692,ambient pop
,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,american
,035bc391-d7dd-4a68-8321-fa1e02697fc8,american
,0923598e-2b97-4527-b984-5feed94c168d,american
,0ce7fbf0-1107-4c4f-b117-5f0756cf90c4,american
,0dbd6300-efdc-420b-857e-895e18fad317,american
,1138a764-2212-4d0a-b02d-0dc14df91e08,american
,118ba687-ad7f-4c28-9355-67e14b18baeb,american
,136b2664-686f-4ae4-acf9-6f34446636d4,american
,164f0d73-1234-4e2c-8743-d77bf2191051,american
,20336142-85de-4e11-a1fd-a6c815b4e583,american
,2379937f-6e0d-46a2-b8ff-633fafd72002,american
,248ead7d-8058-4e0c-b334-fde70c036f8d,american
,272989c8-5535-492d-a25c-9f58803e027f,american
,27613b78-1b9d-4ec3-9db5-fa0743465fdd,american
,2891369d-d843-45d1-ac1d-52982095ae8c,american
,2947dcd0-e65f-4293-af4b-3fe309e0dea0,american
,2a250f44-5473-4dc9-a8ba-2320fb31b2f9,american
,2e229823-0fc2-438b-aacb-5de02bd0b9b7,american
,2f569e60-0a1b-4fb9-95a4-3dc1525d1aad,american
,2f58d07c-4ed6-4f29-8b10-95266e16fe1b,american
,30343313-1e24-4758-950f-4a96309d7893,american
,346448f5-25a0-4f78-bbd6-acc0205f7513,american
,351d8bdf-33a1-45e2-8c04-c85fad20da55,american
,3d65bead-6eae-4012-8665-d5f593ea4a62,american
,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,american
,4b66082d-36a3-4418-a80c-ea7773e46bf6,american
