artist_mbid,other_mbid,relationship_type
10958397-9d0b-4dc2-8dc2-0d57dc7904c9,854fbd52-9d01-4ce6-ac3e-8324e3ad753d,member of band
10bb972d-3060-455e-aea6-6fce3c076529,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
10da7357-9dc3-416a-a895-37b3aa047b01,50c2e87b-abb6-4ac3-a498-c509467689a0,member of band
10fcef09-1491-402d-85ed-65ad7c126d34,f20b31b1-2eba-478c-a229-55291791c7ca,member of band
1104b93d-2bdb-409e-a6e6-f5411eff1589,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
1155a7a9-a7b4-46ba-ba27-6b6c98be487e,58e235fc-f6ea-4614-9ed4-9855a5665ae1,is person
118ba687-ad7f-4c28-9355-67e14b18baeb,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,member of band
11e3b6c6-2869-471a-93c9-baae2447901c,01199296-a478-49fd-8ec0-1da1e9146671,is person
11e3b6c6-2869-471a-93c9-baae2447901c,745a0ce5-ba0b-4cb0-871e-5fade438f5ea,is person
11f66ca4-02d9-429e-a117-892a0af8fa6a,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,member of band
1209bc25-dcb9-4c96-a1b0-b62a084c1165,d570bb31-b9ca-45a4-a2d9-11b186d9c159,member of band
1228e328-3b51-4a38-b77c-b5b26c53c24d,088e85ba-619f-4763-ad5f-246ab0614fe6,member of band
122a2714-24f8-4046-a532-64064b5076d2,056e4f3e-d505-4dad-8ec1-d04f521cbb56,member of band
122b5381-cf8f-46fa-8455-dd11cb98dc1a,47a2cc37-adbf-4e62-8532-23b6aa1698db,member of band
12327d75-47d5-45d9-84c2-3760b9210c17,83d91898-7763-47d7-b03b-b92132375c47,member of band
123814ce-f7f7-44c9-b84d-0088b1e230a4,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,member of band
125161ef-024c-43ab-bf1f-33b6982d1797,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
12737e3f-799d-4661-937b-d8285b387697,7284b092-eb9d-41fc-9b16-77abe96b1952,member of band
127b13c7-1b12-4c7e-a75b-ab28949aa540,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
127e632a-f790-4c36-af6b-f4a91e70d24f,ef069340-5d44-4178-9e9f-87989fe79c1f,member of band
129f50a7-e294-46ae-85c2-68deefb6588c,9102bdf6-b03e-4470-9f78-12127c4995cc,member of band
12b02974-6d6e-47a9-87d2-98bfc627c9ae,accb532b-bdc7-4153-b730-7b52d9f40562,is person
12bf35df-1765-4ab3-84b1-20459cf84ae9,5700dcd4-c139-4f31-aa3e-6382b9af9032,member of band
12cd8934-c85c-4572-ad7b-7e161e401005,5700dcd4-c139-4f31-aa3e-6382b9af9032,member of band
