artist_mbid,artist_mb_name,artist_sort_name,artist_disambiguation,artist_type,artist_area,artist_birthplace,artist_start_date,artist_end_date,artist_gender
cf3ed710-31e0-4437-9c82-c079741a3d19,小森美果,"Komori, Mika",,Person,Japan,Aichi,1994-07-19,,Female
cf51121d-624b-44bb-801f-18b7bed0e0bc,Elijah Marrett-Hitch,"Marrett-Hitch, Elijah",,Person,,,,,
cf580d82-3f3e-4b86-8874-7e0fbe794f01,Aya Nakamura,"Nakamura, Aya",French R&B singer,Person,France,Bamako,1995-05-10,,Female
cf58cc10-0145-48f5-9ac6-0f53183138fd,Audrey Riley,"Riley, Audrey",,Person,United Kingdom,,,,Female
cf6536b4-93fe-4418-b9ee-9adce7728b0f,이지인,"Lee, Ji-In",,Person,South Korea,,1992-03-13,,Female
cf6fd745-1035-4bad-b0ef-33ed822b00b7,"Ron ""Bumblefoot"" Thal","Thal, Ron ""Bumblefoot""",American guitarist,Person,United States,Brooklyn,1969-09-25,,Male
cf800ae8-be59-4b45-9c4f-9216d9f3af4c,Wendell Kelly,"Kelly, Wendell",,Person,,,,,Male
cf91acbf-d59c-4de8-aaa3-fc544b67673e,Scott Desmarais,"Desmarais, Scott",,Person,,,,,Male
cf933e60-92da-4140-bddb-694e7e49f61f,Jonathan Cain,"Cain, Jonathan",,Person,United States,Chicago,1950-02-26,,Male
cf9f1d20-e7c1-4680-8892-3f5936611024,Bobby Z.,"Z., Bobby",,Person,United States,,1956-01-09,,Male
cfadd058-9a43-46fe-9d39-fa4dc6c855cc,양정원,"Yang, Jung-won",,Person,South Korea,,2004-02-09,,Male
cfb31d3d-5a6b-4fc8-9c77-a1c440e0eeb6,Chloe Vincent,"Vincent, Chloe",,Person,,,,,
cfb381d6-df26-4c66-bd5d-bcc1af01ac9f,강지원,"Kang, Jiwon",,Person,South Korea,,,,
cfb46939-509e-4a1e-bac3-2f48368789ee,보라,Bo Ra,Cherry Bullet,Person,South Korea,Gwangsan District,1999-03-03,,Female
cfb94741-66f2-4ffc-875c-d950182637f1,지아,Jia,Member of Tri.be,Person,South Korea,Taipei,2005-07-30,,Female
cfe71f95-a91a-4c61-8fbf-a58cdb4023f2,Camille Chapellière,"Chapellière, Camille","aka ""Chapi""",Person,,,,,Male
